State,Probability,Decimal
10000001,0.00025601985606114744,129
10001001,0.001007453191249933,137
10001010,0.00016726351665557738,138
10001011,0.0015645886507726517,139
10001100,0.00016145545267285836,140
10001101,0.00041561055555415483,141
10001111,0.000947467783215214,143
10010000,0.00023935728825308207,144
10010001,0.0002165184867806887,145
10010011,0.00047944868903776326,147
10011000,0.002378176047037257,152
10011001,0.0034823987248291054,153
10011010,0.0018177744322030323,154
10011011,0.003831004879057407,155
10011100,0.0027213368965352497,156
10011101,0.0036378623562091264,157
10011110,0.0020959009875460826,158
10011111,0.002341965238425099,159
10100010,0.000461820281823685,162
10100011,0.00019410048804099805,163
10100100,0.000508302350735424,164
10100101,0.00024349363242879223,165
10100110,0.0009553679092768589,166
10100111,0.00035039898919709406,167
10101000,0.0004453445731205334,168
10101001,0.00016372549469509658,169
10101010,0.0049067341628672365,170
10101011,0.003977522957389048,171
10101100,0.0009240776246598928,172
10101101,0.0003807633978710314,173
10101110,0.0043125424380654415,174
10101111,0.004640263695034149,175
10110000,0.00023385392954141648,176
10110001,0.00021315834289624576,177
10110010,0.0010271698343326755,178
10110011,0.0015767977236063248,179
10110100,0.00043847282612493444,180
10110101,0.0007572941996236291,181
10110110,0.001272995400217602,182
10110111,0.0024888393697184126,183
10111000,0.0009258060112502835,184
10111001,0.0017796724599936419,185
10111010,0.0252461197103535,186
10111011,0.025555918516198123,187
10111100,0.004077352857478614,188
10111101,0.0019277910477202105,189
10111110,0.03284934083409572,190
10111111,0.036192062988716904,191
11000000,0.0002461706679881461,192
11000001,0.0002397206082980619,193
11000100,0.00046489294504306524,196
11000101,0.00044708739085885454,197
11000110,0.0001507582813922911,198
11000111,0.0001297969280960913,199
11001010,0.000201064776347537,202
11001011,0.00039581670632549983,203
11001100,0.004326255060147529,204
11001101,0.005009577984860295,205
11001110,0.0026801176076862504,206
11001111,0.003808964300828459,207
11010100,0.0016615682724940091,212
11010101,0.002616615932951028,213
11010110,0.00127410403524544,214
11010111,0.0010598482756144407,215
11011000,0.0004475539621283153,216
11011001,0.0029811184315974826,217
11011010,0.0009842744917361688,218
11011011,7.002343312814109e-05,219
11011100,0.014334989885825473,220
11011101,0.030583080529002066,221
11011110,0.013344331175156677,222
11011111,0.013784220049808726,223
11100010,0.0009825185237956678,226
11100011,0.00041223659962296544,227
11100101,0.0006633525944150099,229
11100110,0.005732254877662532,230
11100111,0.006487421159726942,231
11101001,0.00016606429524637683,233
11101010,5.8225913560622895e-05,234
11101011,0.0017945744632416607,235
11101100,0.0031322525096084586,236
11101101,0.0036241566842195178,237
11101110,0.029005097552358833,238
11101111,0.029249059092325145,239
11110000,0.0001975848564716746,240
11110010,0.0007517291883551066,242
11110011,0.0005684463347258878,243
11110100,0.0021215857100093604,244
11110101,0.0014840573570202877,245
11110110,0.013171448048681079,246
11110111,0.005133913408372169,247
11111000,0.0015818267482088989,248
11111001,0.001401530412701509,249
11111010,0.007864907841579203,250
11111011,0.0053739095656901775,251
11111100,0.029229817661212472,252
11111101,0.015231301772114167,253
11111110,0.2159757847551331,254
11111111,0.17135739712168388,255
00001001,0.00024001337369054007,9
00010001,0.0005330528793032203,17
00010010,0.0004883152383517573,18
00010101,0.0007635683953533875,21
00010111,0.0001519283854512787,23
00011001,0.0007430505850051446,25
00011100,0.0005078409167368142,28
00011111,0.0007416863847631655,31
00100000,0.0002501311009582642,32
00100010,0.00023172127298797684,34
00100011,0.00021224048545573005,35
00100110,0.0007590062749606289,38
00100111,0.0010342226396145965,39
00101010,0.00017225775183363107,42
00101110,0.00036498677832209447,46
00101111,0.0001171529116367741,47
00110000,0.00023688929304577352,48
00110010,0.0027275946181827744,50
00110011,0.004124178683299217,51
00110100,0.0004594644401887191,52
00110101,0.00042035333136730945,53
00110110,0.0031833962068413086,54
00110111,0.005949205092087181,55
00111000,0.00020073327676082203,56
00111001,0.00046330954926811663,57
00111010,0.002911445137234805,58
00111011,0.001993711119106468,59
00111100,0.00012475155995065273,60
00111101,0.00017510811887061823,61
00111110,0.0034342669420391594,62
00111111,0.0027305391038671646,63
01000100,0.00022803196282506142,68
01000101,0.0005084845398619994,69
01000110,0.00021697251755655125,70
01000111,0.0004933794453931487,71
01001100,0.0007328140453532708,76
01001101,0.00015862085213281092,77
01001110,0.00042038455519044016,78
01001111,0.00044336188289305627,79
01010000,0.00023902741364378882,80
01010001,0.00019163397544098726,81
01010011,0.0004937479357930932,83
01010100,0.002120721112766033,84
01010101,0.003557071770830089,85
01010110,0.002139218811821809,86
01010111,0.0031172977669421133,87
01011000,0.00023383671410000828,88
01011011,0.00021403662410507526,91
01011100,0.0004979639745446491,92
01011101,0.002003736806188399,93
01011110,0.001754845944655208,94
01011111,0.0011236099040476844,95
01100010,0.00021704257305396095,98
01100011,0.0002173696338496675,99
01100100,0.0004548453069823479,100
01100101,0.00018819192396828197,101
01100110,0.001814899399326612,102
01100111,0.0018763834805988738,103
01101101,0.0004429196182632887,109
01101110,0.004554100160563051,110
01101111,0.0018167536141921578,111
01110000,0.00019660120055240836,112
01110010,9.751486296664061e-05,114
01110011,0.0006541517609865902,115
01110100,0.003792152699447154,116
01110101,0.0029348107531746827,117
01110110,0.025527974288667512,118
01110111,0.020895704620268664,119
01111000,0.0007260376833657582,120
01111010,0.00090507112569396,122
01111011,0.0009287383960385775,123
01111100,0.00179292163818206,124
01111101,0.0010633242977451766,125
01111110,0.014318069672455051,126
01111111,0.016466387027565522,127
